Latitude,Longitude
45.302318572998047,-76.677597045898438
45.302345275878906,-76.677543640136719
45.302368164062500,-76.677490234375000
45.302394866943359,-76.677436828613281
45.302425384521484,-76.677391052246094
45.302452087402344,-76.677337646484375
45.302482604980469,-76.677291870117188
45.302513122558594,-76.677246093750000
45.302547454833984,-76.677207946777344
45.302585601806641,-76.677169799804688
45.302619934082031,-76.677131652832031
45.302661895751953,-76.677101135253906
45.302700042724609,-76.677070617675781
45.302742004394531,-76.677040100097656
45.302783966064453,-76.677017211914062
45.302825927734375,-76.676994323730469
45.302867889404297,-76.676971435546875
45.302909851074219,-76.676948547363281
45.302951812744141,-76.676933288574219
45.302993774414062,-76.676910400390625
45.303035736083984,-76.676887512207031
45.303077697753906,-76.676864624023438
45.303119659423828,-76.676841735839844
